digit2,desc2,digit3,desc3,digit4,desc
82,Educational Services,822,"Colleges, Universities, ProfessionaSchools, Junior Colleges, and Technical Institutes",2642,Envelopes
82,Educational Services,823,Libraries,2643,"Bags, Except Textile Bags"
82,Educational Services,824,Vocational Schools,2645,Die-Cut Paper And Board
82,Educational Services,829,Schools and Educational,2646,    Pressed And Molded Pulp Goods
83,Social Services,832,lndividual and Family Social Services,2647,    Sanitary Paper Products
83,Social Services,833,Job Training and Vocational Rehabilitation,2648,    Stationery Products
83,Social Services,835,Child Day Care Services,2649,"    Converted Paper Products, nec"
83,Social Services,836,Residential Care,2650,    Paperboard Containers And Boxes
83,Social Services,839,"Social Services, Not Elsewhere",2651,    Folding Paperboard Boxes
84,"Museums, Art Galleries, and Botanical and Zoo",841,Museums and Art Galleries,2652,    Set-Up Paperboard Boxes
84,"Museums, Art Galleries, and Botanical and Zoo",842,Arboreta and Botanical or Zoological Gardens,2653,    Corrugated And Solid Fiber Boxes
86,Membership Organizations,861,Business Associations,2654,    Sanitary Food Containers
86,Membership Organizations,862,Professional Membership Organizations,2655,"    Fiber Cans, Drums & Similar Products"
86,Membership Organizations,863,Labor Unions and Similar Labor Organizations,2660,Building Paper And Board Mills
86,Membership Organizations,864,"Civic, Social, and Fraternal Associations",2700,Printing And Publishing
86,Membership Organizations,865,Political Organizations,2710,Newspapers
86,Membership Organizations,866,Religious Organizations,2720,Periodicals
86,Membership Organizations,869,"Membership Organizations, Not Elsewhere Classified",2730,Books
87,"Engineering, Accounting, Research, Management",871,"Engineering, Architectural, and Surveying",2731,    Book Publishing
87,"Engineering, Accounting, Research, Management",872,"Accounting, Auditing, and Bookkeeping Services",2732,    Book Printing
87,"Engineering, Accounting, Research, Management",873,"Research, Development, and Testing Services",2740,Miscellaneous Publishing
87,"Engineering, Accounting, Research, Management",874,Management and Public Relations Services,2750,    Commercial Printing
91,"Executive, Legislative, and General Governmen",911,Executive Offices,2751,"    Commercial Printing, Letterpress"
91,"Executive, Legislative, and General Governmen",912,Legislative Bodies,2752,"    Commercial Printing, Lithographic"
91,"Executive, Legislative, and General Governmen",913,Executive and Legislative Offices Combined,2753,    Engraving And Plate Printing
91,"Executive, Legislative, and General Governmen",919,"General Government, Not Elsewhere Classified",2754,"    Commercial Printing, Gravure"
92,"Justice, Public Order, and Safety",921,Courts,2760,Manifold Business Forms
92,"Justice, Public Order, and Safety",922,Public Order and Safety,2770,Greeting Card Publishing
93,"Public Finance, Taxation, and Monetary Policy",931,"Public Finance, Taxation, and Monetary Policy",2780,Blankbooks And Bookbinding
94,Administration of Human Resource Programs,941,Administration of Educational Programs,2782,Blankbooks And Looseleaf Binders
94,Administration of Human Resource Programs,943,Administration of Public Health Programs,2789,    Bookbinding And Related Work
94,Administration of Human Resource Programs,944,"Administration of Social, Human Resource and Income Maintenance",2790,    Printing Trade Services
94,Administration of Human Resource Programs,945,"Administration of Veterans' Affairs, except Health andInsurance",2791,Typesetting
95,Administration of Environmental Quality and H,951,Administration of Environmental Quality,2793,Photoengraving
95,Administration of Environmental Quality and H,953,Administration of Housing and Urban Planning,2794,    Electrotyping And Stereotyping
96,Administration of Economic Programs,961,Administration of General Economic Programs,2795,    Lithographic Platemaking Services
96,Administration of Economic Programs,962,Regulation and Administration of Transportation,2800,Chemicals And Allied Products
96,Administration of Economic Programs,963,"Regulation and Administration of Communications, ElectricGas, an",2810,Industrial Inorganic Chemicals
96,Administration of Economic Programs,964,Regulation of Agricultural Marketing and Commodities,2812,    Alkalies And Chlorine
96,Administration of Economic Programs,965,"Regulation, Licensing, and Inspection of MiscellaneousCommercial",2813,    Industrial Gases
96,Administration of Economic Programs,966,Space Research and Technology,2816,Inorganic Pigments
97,National Security and International Affairs,971,National Security,2819,"    Industrial Inorganic Chemicals, nec"
97,National Security and International Affairs,972,International Affairs,2820,    Plastics Materials And Synthetics
99,Nonclassifiable Establishments,999,Nonclassifiable Establishments,2821,    Plastics Materials And Resins
,,,,2822,    Synthetic Rubber
,,,,2823,    Cellulosic Man-Made Fibers
,,,,2824,"    Organic Fibers, Noncellulosic"
,,,,2830,Drugs
,,,,2831,Biological Products
,,,,2833,    Medicinals And Botanicals
,,,,2834,    Pharmaceutical Preparations
,,,,2840,"    Soap, Cleaners, And Toilet Goods"
,,,,2841,    Soap And Other Detergents
,,,,2842,    Polishes And Sanitation Goods
,,,,2843,    Surface Active Agents
,,,,2844,    Toilet Preparations
,,,,2850,Paints And Allied Products
,,,,2860,    Industrial Organic Chemicals
,,,,2861,    Gum And Wood Chemicals
,,,,2865,Cyclic Crudes And Intermediates
,,,,2869,"    Industrial Organic Chemicals, nec"
,,,,2870,    Agricultural Chemicals
,,,,2873,    Nitrogenous Fertilizers
,,,,2874,    Phosphatic Fertilizers
,,,,2875,"    Fertilizers, Mixing Only"
,,,,2879,"Agricultural Chemicals, nec"
,,,,2890,    Miscellaneous Chemical Products
,,,,2891,    Adhesives And Sealants
,,,,2892,Explosives
,,,,2893,Printing Ink
,,,,2895,Carbon Black
,,,,2899,"    Chemical Preparations, nec"
,,,,2900,    Petroleum And Coal Products
,,,,2910,Petroleum Refining
,,,,2950,    Paving And Roofing Materials
,,,,2951,    Paving Mixtures And Blocks
,,,,2952,    Asphalt Felts And Coatings
,,,,2990,Misc. Petroleum And Coal Products
,,,,2992,Lubricating Oils And Greases
,,,,2999,"    Petroleum And Coal Products, nec"
,,,,3000,    Rubber And Misc. Plastics Products
,,,,3010,Tires And Inner Tubes
,,,,3020,Rubber And Plastics Footwear
,,,,3030,Reclaimed Rubber
,,,,3040,Rubber And Plastics Hose And Belting
,,,,3060,"Fabricated Rubber Products, nec"
,,,,3070,Miscellaneous Plastics Products
,,,,3100,Leather And Leather Products
,,,,3110,Leather Tanning And Finishing
,,,,3130,Footwear Cut Stock
,,,,3140,"Footwear, Except Rubber"
,,,,3142,    House Slippers
,,,,3143,"    Men's Footwear, Except Athletic"
,,,,3144,"    Women's Footwear, Except Athletic"
,,,,3149,"    Footwear, Except Rubber, nec"
,,,,3150,    Leather Gloves And Mittens
,,,,3160,Luggage
,,,,3170,    Handbags And Personal Leather Goods
,,,,3171,    Women's Handbags And Purses
,,,,3172,"    Personal Leather Goods, nec"
,,,,3190,"Leather Goods, nec"
,,,,3200,"Stone, Clay, And Glass Products"
,,,,3210,Flat Glass
,,,,3220,"    Glass And Glassware, Pressed Or Blown"
,,,,3221,    Glass Containers
,,,,3229,"    Pressed And Blown Glass, nec"
,,,,3230,    Products Of Purchased Glass
,,,,3240,"Cement, Hydraulic"
,,,,3250,    Structural Clay Products
,,,,3251,    Brick And Structural Clay Tile
,,,,3253,Ceramic Wall And Floor Tile
,,,,3255,Clay Refractories
,,,,3259,"    Structural Clay Products, nec"
,,,,3260,    Pottery And Related Products
,,,,3261,    Vitreous Plumbing Fixtures
,,,,3262,    Vitreous China Food Utensils
,,,,3263,    Fine Earthenware Food Utensils
,,,,3264,    Porcelain Electrical Supplies
,,,,3269,"    Pottery Products, nec"
,,,,3270,"    Concrete, Gypsum, And Plaster Products"
,,,,3271,    Concrete Block And Brick
,,,,3272,"    Concrete Products, nec"
,,,,3273,    Ready-Mixed Concrete
,,,,3274,Lime
,,,,3275,Gypsum Products
,,,,3280,Cut Stone And Stone Products
,,,,3290,    Misc. Nonmetallic Mineral Products
,,,,3291,    Abrasive Products
,,,,3292,    Asbestos Products
,,,,3293,"    Gaskets, Packing And Sealing Devices"
,,,,3295,"    Minerals, Ground Or Treated"
,,,,3296,    Mineral Wool
,,,,3297,    Nonclay Refractories
,,,,3299,"    Nonmetallic Mineral Products, nec"
,,,,3300,    Primary Metal Industries
,,,,3310,Blast Furnace And Basic Steel Products
,,,,3312,    Blast Furnaces And Steel Mills
,,,,3313,    Electrometallurgical Products
,,,,3315,    Steel Wire And Related Products
,,,,3316,    Cold Finishing Of Steel Shapes
,,,,3317,    Steel Pipe And Tubes
,,,,3320,    Iron And Steel Foundries
,,,,3321,    Gray Iron Foundries
,,,,3322,    Malleable Iron Foundries
,,,,3324,    Steel Investment Foundries
,,,,3325,"    Steel Foundries, nec"
,,,,3330,    Primary Nonferrous Metals
,,,,3331,    Primary Copper
,,,,3332,    Primary Lead
,,,,3333,    Primary Zinc
,,,,3334,    Primary Aluminum
,,,,3339,"    Primary Nonferrous Metals, nec"
,,,,3340,    Secondary Nonferrous Metals
,,,,3350,    Nonferrous Rolling And Drawing
,,,,3351,    Copper Rolling And Drawing
,,,,3353,"    Aluminum Sheet, Plate, And Foil"
,,,,3354,    Aluminum Extruded Products
,,,,3355,"    Aluminum Rolling And Drawing, nec"
,,,,3356,"    Nonferrous Rolling And Drawing, nec"
,,,,3357,    Nonferrous Wire Drawing & Insulating
,,,,3360,    Nonferrous Foundries
,,,,3361,    Aluminum Foundries
,,,,3362,"    Brass, Bronze, And Copper Foundries"
,,,,3369,"Nonferrous Foundries, nec"
,,,,3390,Miscellaneous Primary Metal Products
,,,,3398,    Metal Heat Treating
,,,,3399,"    Primary Metal Products, nec"
,,,,3400,    Fabricated Metal Products
,,,,3410,    Metal Cans And Shipping Containers
,,,,3411,    Metal Cans
,,,,3412,"    Metal Barrels, Drums, And Pails"
,,,,3420,"Cutlery, Hand Tools, And Hardware"
,,,,3421,Cutlery
,,,,3423,"Hand And Edge Tools, nec"
,,,,3425,Hand Saws And Saw Blades
,,,,3429,"    Hardware, nec"
,,,,3430,"    Plumbing And Heating, Except Electric"
,,,,3431,    Metal Sanitary Ware
,,,,3432,    Plumbing Fittings And Brass Goods
,,,,3433,"    Heating Equipment, Except Electric"
,,,,3440,    Fabricated Structural Metal Products
,,,,3441,    Fabricated Structural Metal
,,,,3442,"    Metal Doors, Sash, And Trim"
,,,,3443,    Fabricated Plate Work (Boiler Shops)
,,,,3444,    Sheet Metal Work
,,,,3446,Architectural Metal Work
,,,,3448,    Prefabricated Metal Buildings
,,,,3449,    Miscellaneous Metal Work
,,,,3450,"    Screw Machine Products, Bolts, etc."
,,,,3451,    Screw Machine Products
,,,,3452,"    Bolts, Nuts, Rivets, And Washers"
,,,,3460,Metal Forgings And Stampings
,,,,3462,    Iron And Steel Forgings
,,,,3463,    Nonferrous Forgings
,,,,3465,    Automotive Stampings
,,,,3466,    Crowns And Closures
,,,,3469,"    Metal Stampings, nec"
,,,,3470,"    Metal Services, nec"
,,,,3471,    Plating And Polishing
,,,,3479,    Metal Coating And Allied Services
,,,,3480,"    Ordnance And Accessories, nec"
,,,,3482,    Small Arms Ammunition
,,,,3483,"    Ammunition, Exc. For Small Arms, nec"
,,,,3484,    Small Arms
,,,,3489,"    Ordnance And Accessories, nec"
,,,,3490,    Misc. Fabricated Metal Products
,,,,3493,"    Steel Springs, Except Wire"
,,,,3494,    Valves And Pipe Fittings
,,,,3495,    Wire Springs
,,,,3496,    Misc. Fabricated Wire Products
,,,,3497,    Metal Foil And Leaf
,,,,3498,    Fabricated Pipe And Fittings
,,,,3499,"    Fabricated Metal Products, nec"
,,,,3500,"    Machinery, Except Electrical"
,,,,3510,    Engines And Turbines
,,,,3511,    Turbines And Turbine Generator Sets
,,,,3519,"    Internal Combustion Engines, nec"
,,,,3520,    Farm And Garden Machinery
,,,,3523,    Farm Machinery And Equipment
,,,,3524,    Lawn And Garden Equipment
,,,,3530,    Construction And Related Machinery
,,,,3531,    Construction Machinery
,,,,3532,    Mining Machinery
,,,,3533,    Oil Field Machinery
,,,,3534,    Elevators And Moving Stairways
,,,,3535,    Conveyors And Conveying Equipment
,,,,3536,"    Hoists, Cranes, And Monorails"
,,,,3537,    Industrial Trucks And Tractors
,,,,3540,    Metalworking Machinery
,,,,3541,"    Machine Tools, Metal Cutting Types"
,,,,3542,"    Machine Tools, Metal Forming Types"
,,,,3544,"    Special Dies, Tools, Jigs & Fixtures"
,,,,3545,    Machine Tool Accessories
,,,,3546,    Power Driven Hand Tools
,,,,3547,    Rolling Mill Machinery
,,,,3549,"    Metalworking Machinery, nec"
,,,,3550,    Special Industry Machinery
,,,,3551,    Food Products Machinery
,,,,3552,    Textile Machinery
,,,,3553,    Woodworking Machinery
,,,,3554,    Paper Industries Machinery
,,,,3555,    Printing Trades Machinery
,,,,3559,"    Special Industry Machinery, nec"
,,,,3560,    General Industrial Machinery
,,,,3561,    Pumps And Pumping Equipment
,,,,3562,    Ball And Roller Bearings
,,,,3563,    Air And Gas Compressors
,,,,3564,    Blowers And Fans
,,,,3565,    Industrial Patterns
,,,,3566,"    Speed Changers, Drives, And Gears"
,,,,3567,    Industrial Furnaces And Ovens
,,,,3568,"    Power Transmission Equipment, nec"
,,,,3569,"    General Industrial Machinery, nec"
,,,,3570,    Office And Computing Machines
,,,,3572,    Typewriters (1987 only)
,,,,3573,    Electronic Computing Equipment
,,,,3574,    Calculating And Accounting Machines
,,,,3576,"Scales And Balances, Exc. Laboratory"
,,,,3579,"    Office Machines, nec"
,,,,3580,    Refrigeration And Service Machinery
,,,,3581,    Automatic Merchandising Machines
,,,,3582,    Commercial Laundry Equipment
,,,,3585,    Refrigeration And Heating Equipment
,,,,3586,    Measuring And Dispensing Pumps
,,,,3589,"    Service Industry Machinery, nec"
,,,,3590,"    Misc. Machinery, Except Electrical"
,,,,3592,"Carburetors, Pistons, Rings, Valves"
,,,,3599,"    Machinery, Except Electrical, nec"
,,,,3600,    Electric And Electronic Equipment
,,,,3610,Electric Distributing Equipment
,,,,3612,Transformers
,,,,3613,Switchgear And Switchboard Apparatus
,,,,3620,    Electrical Industrial Apparatus
,,,,3621,    Motors And Generators
,,,,3622,    Industrial Controls
,,,,3623,"    Welding Apparatus, Electric"
,,,,3624,    Carbon And Graphite Products
,,,,3629,"    Electrical Industrial Apparatus, nec"
,,,,3630,    Household Appliances
,,,,3631,    Household Cooking Equipment
,,,,3632,    Household Refrigerators And Freezers
,,,,3633,    Household Laundry Equipment
,,,,3634,    Electric Housewares And Fans
,,,,3635,    Household Vacuum Cleaners
,,,,3636,    Sewing Machines
,,,,3639,"    Household Appliances, nec"
,,,,3640,    Electric Lighting And Wiring Equipment
,,,,3641,    Electric Lamps
,,,,3643,    Current-Carrying Wiring Devices
,,,,3644,    Noncurrent-Carrying Wiring Divices
,,,,3645,    Residential Lighting Fixtures
,,,,3646,    Commercial Lighting Fixtures
,,,,3647,    Vehicular Lighting Equipment
,,,,3648,"    Lighting Equipment, nec"
,,,,3650,    Radio And TV Receiving Equipment
,,,,3651,    Radio And TV Receiving Sets
,,,,3652,    Phonograph Records
,,,,3660,    Communication Equipment
,,,,3661,    Telephone And Telegraph Apparatus
,,,,3662,Radio And TV Communication Equipment
,,,,3670,    Electronic Components And Accessories
,,,,3671,"    Electron Tubes, Receiving Type"
,,,,3672,    Cathode Ray Television Picture Tubes
,,,,3673,"    Electron Tubes, Transmitting"
,,,,3674,    Semiconductors And Related Devices
,,,,3675,    Electronic Capacitors
,,,,3676,    Electronic Resistors
,,,,3677,    Electronic Coils And Transformers
,,,,3678,    Electronic Connectors
,,,,3679,"    Electronic Components, nec"
,,,,3690,    Misc. Electrical Equipment & Supplies
,,,,3691,    Storage Batteries
,,,,3692,"    Primary Batteries, Dry And Wet"
,,,,3693,    X-Ray Apparatus And Tubes
,,,,3694,    Engine Electrical Equipment
,,,,3699,"    Electrical Equipment & Supplies, nec"
,,,,3700,    Transportation Equipment
,,,,3710,    Motor Vehicles And Equipment
,,,,3711,    Motor Vehicles And Car Bodies
,,,,3713,    Truck And Bus Bodies
,,,,3714,    Motor Vehicle Parts And Accessories
,,,,3715,    Truck Trailers
,,,,3716,    Motor Homes
,,,,3720,Aircraft And Parts
,,,,3721,Aircraft
,,,,3724,Aircraft Engines And Engine Parts
,,,,3728,"Aircraft Equipment, nec"
,,,,3730,    Ship And Boat Building And Repairing
,,,,3731,    Ship Building And Repairing
,,,,3732,    Boat building And Repairing
,,,,3740,Railroad Equipment
,,,,3750,"Motorcycles, Bicycles, And Parts"
,,,,3760,"    Guided Missiles, Space Vehicles, Parts"
,,,,3761,    Guided Missiles And Space Vehicles
,,,,3764,Space Propulsion Units And Parts
,,,,3769,"Space Vehicle Equipment, nec"
,,,,3790,Miscellaneous Transportation Equipment
,,,,3792,Travel Trailers And Campers
,,,,3795,Tanks And Tank Components
,,,,3799,"    Transportation Equipment, nec"
,,,,3800,    Instruments And Related Products
,,,,3810,Engineering & Scientific Instruments
,,,,3820,Measuring And Controlling Devices
,,,,3822,    Environmental Controls
,,,,3823,    Process Control Instruments
,,,,3824,    Fluid Meters And Counting Devices
,,,,3825,    Instruments To Measure Electricity
,,,,3829,"    Measuring & Controlling Eevices, nec"
,,,,3830,    Optical Instruments And Lenses
,,,,3840,    Medical Instruments And Supplies
,,,,3841,    Surgical And Medical Instruments
,,,,3842,    Surgical Appliances And Supplies
,,,,3843,    Dental Equipment And Supplies
,,,,3850,Ophthalmic Goods
,,,,3860,Photographic Equipment And Supplies
,,,,3870,"Watches, Clocks, And Watchcases"
,,,,3900,Miscellaneous Manufacturing Industries
,,,,3910,"    Jewelry, Silverware, And Plated Ware"
,,,,3911,"    Jewelry, Precious Metal"
,,,,3914,    Silverware And Plated Ware
,,,,3915,    Jewelers' Materials & Lapidary Work
,,,,3930,Musical Instruments
,,,,3940,Toys And Sporting Goods
,,,,3942,Dolls
,,,,3944,"Games, Toys, And Children's Vehicles"
,,,,3949,"    Sporting And Athletic Goods, nec"
,,,,3950,"    Pens, Pencils, Office And Art Supplies"
,,,,3951,    Pens And Mechanical Pencils
,,,,3952,    Lead Pencils And Art Goods
,,,,3953,    Marking Devices
,,,,3955,Carbon Paper And Inked Ribbons
,,,,3960,    Costume Jewelry And Notions
,,,,3961,    Costume Jewelry
,,,,3962,Artificial Flowers
,,,,3963,Buttons
,,,,3964,"Needles, Pins, And Fasteners"
,,,,3990,    Miscellaneous Manufactures
,,,,3991,    Brooms And Brushes
,,,,3993,Signs And Advertising Displays
,,,,3995,    Burial Caskets
,,,,3996,    Hard Surface Floor Coverings
,,,,3999,"Manufacturing Industries, nec"
,,,,399\,MFG Administrative And Auxiliary
,,,,40--,Transportation And Public Utilities
,,,,4100,Local And Interurban Passenger Transit
,,,,4110,    Local And Suburban Transportation
,,,,4111,    Local And Suburban Transit
,,,,4119,"Local Passenger Transportation, nec"
,,,,4120,Taxicabs
,,,,4121,*   Taxicabs
,,,,4130,Intercity Highway Transportation
,,,,4131,*   Intercity Highway Transportation
,,,,4140,    Transportation Charter Service
,,,,4141,    Local Passenger Charter Service
,,,,4142,"    Charter Service, Except Loca"
,,,,4150,School Buses
,,,,4151,*   School Buses
,,,,4170,    Bus Terminal And Service Facilities
,,,,4171,    Bus Terminal Facilities
,,,,4172,    Bus Service Facilities
,,,,4200,Trucking And Warehousing
,,,,4210,"Trucking, Local And Long Distance"
,,,,4220,    Public Warehousing
,,,,4221,    Farm Product Warehousing And Storage
,,,,4222,    Refrigerated Warehousing
,,,,4224,    Household Goods Warehousing
,,,,4225,    General Warehousing And Storage
,,,,4226,"    Special Warehousing And Storage, nec"
,,,,4230,Trucking Terminal Facilities
,,,,4231,*   Trucking Terminal Facilities
,,,,4400,Water Transportation
,,,,4410,Deep Sea Foreign Transportation
,,,,4411,*   Deep Sea Foreign Transportation
,,,,4420,    Deep Sea Domestic Transportation
,,,,4421,    Noncontiguous Area Transportation
,,,,4422,    Coastwise Transportation
,,,,4423,    Intercoastal Transportation
,,,,4430,Great Lakes Transportation
,,,,4440,Transportation On Rivers And Canals
,,,,4450,Local Water Transportation
,,,,4460,Water Transportation Services
,,,,4463,    Marine Cargo Handling
,,,,4464,    Canal Operation
,,,,4469,"Water Transportation Services, nec"
,,,,4500,Transportation By Air
,,,,4510,Certificated Air Transportation
,,,,4580,Air Transportation Services
,,,,4600,"Pipe Lines, Except Natural Gas"
,,,,4610,"Pipe Lines, Except Natural Gas"
,,,,4619,"Pipe Lines, nec"
,,,,4700,Transportation Services
,,,,4710,Freight Forwarding
,,,,4712,*   Freight Forwarding
,,,,4720,Arrangement Of Transportation
,,,,4722,    Passenger Transportation Arrangement
,,,,4723,    Freight Transportation Arrangement
,,,,4740,Rental Of Railroad Cars
,,,,4780,Miscellaneous Transportation Services
,,,,4782,Inspection And Weighing Services
,,,,4800,Communication
,,,,4810,Telephone Communication
,,,,4811,*   Telephone Communication
,,,,4820,Telegraph Communication
,,,,4821,*   Telegraph Communication
,,,,4830,Radio And Television Broadcasting
,,,,4890,"Communication Services, nec"
,,,,4899,"*   Communication Services, nec"
,,,,4900,"Electric, Gas, And Sanitary Services"
,,,,4910,Electric Services
,,,,4911,*   Electric Services
,,,,4920,Gas Production And Distribution
,,,,4930,    Combination Utility Services
,,,,4931,    Electric And Other Services Combined
,,,,4932,    Gas And Other Services Combined
,,,,4939,"    Combination Utility Services, nec"
,,,,4940,    Water Supply
,,,,4941,*   Water Supply
,,,,4950,Sanitary Services
,,,,4960,Steam Supply
,,,,4961,*   Steam Supply
,,,,4970,Irrigation Systems
,,,,4971,*   Irrigation Systems
,,,,497\,TRN Administrative And Auxiliary
,,,,50--,Wholesale Trade
,,,,5000,Wholesale Trade-Durable Goods
,,,,5010,Motor Vehicles & Automotive Equipment
,,,,5012,Automobiles And Other Motor Vehicles (Selling)
,,,,5012,    Automobiles And Other Motor Vehicles (Agent/Broker)
,,,,5013,    Automotive Parts And Supplies (Selling)
,,,,5013,    Automotive Parts And Supplies (Agent/Broker)
,,,,5014,    Tires And Tubes (Selling)
,,,,5014,Tires And Tubes (Agent/Broker)
,,,,5020,    Furniture And Home Furnishings
,,,,5021,    Furniture (Selling)
,,,,5021,Furniture (Agent/Broker)
,,,,5023,Home Furnishings (Selling)
,,,,5023,Home Furnishings (Agent/Broker)
,,,,5030,    Lumber And Construction Materials
,,,,5031,"    Lumber, Plywood And Millwork (Selling)"
,,,,5031,"Lumber, Plywood And Millwork (Agent/Broker)"
,,,,5039,"Construction Materials, nec (Selling)"
,,,,5039,"    Construction Materials, nec (Agent/Broker)"
,,,,5040,"    Sporting Goods, Toys And Hobby Goods"
,,,,5041,    Sporting And Recreational Goods (Selling)
,,,,5041,    Sporting And Recreational Goods (Agent/Broker)
,,,,5042,    Toys And Hobby Goods And Supplies (Selling)
,,,,5042,    Toys And Hobby Goods And Supplies (Agent/Broker)
,,,,5043,    Photographic Equipment And Supplies (Selling)
,,,,5043,Photographic Equipment And Supplies (Agent/Broker)
,,,,5050,"    Metals And Minerals, Except Petroleum"
,,,,5051,    Metals Service Centers And Offices (Selling)
,,,,5051,    Metals Service Centers And Offices (Agent/Broker)
,,,,5052,    Coal And Other Minerals And Ores (Selling)
,,,,5052,Coal And Other Minerals And Ores (Agent/Broker)
,,,,5060,Electrical Goods
,,,,5063,Electrical Apparatus And Equipment (Selling)
,,,,5063,    Electrical Apparatus And Equipment (Agent/Broker)
,,,,5064,"    Electrical Appliances, TV And Radios (Selling)"
,,,,5064,"    Electrical Appliances, TV And Radios (Agent/Broker)"
,,,,5065,    Electronic Parts And Equipment (Selling)
,,,,5065,Electronic Parts And Equipment (Agent/Broker)
,,,,5070,"Hardware, Plumbing & Heating Equipment"
,,,,5072,Hardware (Selling)
,,,,5072,Hardware (Agent/Broker)
,,,,5074,Plumbing & Hydronic Heating Supplies (Selling)
,,,,5074,    Plumbing & Hydronic Heating Supplies (Agent/Broker)
,,,,5075,    Warm Air Heating & Air Conditioning (Selling)
,,,,5075,Warm Air Heating & Air Conditioning (Agent/Broker)
,,,,5078,Refrigeration Equipment And Supplies (Selling)
,,,,5078,Refrigeration Equipment And Supplies (Agent/Broker)
,,,,5080,"    Machinery, Equipment, And Supplies"
,,,,5081,    Commercial Machines And Equipment (Selling)
,,,,5081,    Commercial Machines And Equipment (Agent/Broker)
,,,,5082,    Construction And Mining Machinery (Selling)
,,,,5082,    Construction And Mining Machinery (Agent/Broker)
,,,,5083,    Farm Machinery And Equipment (Selling)
,,,,5083,    Farm Machinery And Equipment (Agent/Broker)
,,,,5084,    Industrial Machinery And Equipment (Selling)
,,,,5084,    Industrial Machinery And Equipment (Agent/Broker)
,,,,5085,    Industrial Supplies (Selling)
,,,,5085,Industrial Supplies (Agent/Broker)_
,,,,5086,Professional Equipment And Supplies (Selling)
,,,,5086,    Professional Equipment And Supplies (Agent/Broker)
,,,,5087,    Service Establishment Equipment (Selling)
,,,,5087,    Service Establishment Equipment (Agent/Broker)
,,,,5088,    Transportation Equipment & Supplies (Selling)
,,,,5088,Transportation Equipment & Supplies (Agent/Broker)
,,,,5090,Miscellaneous Durable Goods
,,,,5093,Scrap And Waste Materials (Selling)
,,,,5093,    Scrap And Waste Materials (Ggent/Broker)
,,,,5094,"    Jewelry, Watches, & Precious Stones (Selling)"
,,,,5094,"Jewelry, Watches, & Precious Stones (Agent/Broker)"
,,,,5099,"Durable Goods, nec (Selling)"
,,,,5099,"    Durable Goods, nec (Agent/Broker)"
,,,,5100,    Wholesale Trade-Nondurable Goods
,,,,5110,    Paper And Paper Products
,,,,5111,    Printing And Writing Paper (Selling)
,,,,5111,    Printing And Writing Paper (Agent/Broker)
,,,,5112,    Stationery Supplies (Selling)
,,,,5112,    Stationery Supplies (Agent/Broker)
,,,,5113,    Industrial & Personal Service Paper (Selling)
,,,,5113,Industrial & Personal Service Paper (Agent/Broker)
,,,,5120,"Drugs, Proprietaries, And Sundries"
,,,,5130,"Apparel, Piece Goods And Notions"
,,,,5133,Piece Goods (Selling)
,,,,5133,    Piece Goods (Agent/Broker)
,,,,5134,    Notions And Other Dry Goods (Selling)
,,,,5134,Notions And Other Dry Goods (Agent/Broker)
,,,,5136,Men's Clothing And Furnishings (Selling)
,,,,5136,    Men's Clothing And Furnishings (Agent/Broker)
,,,,5137,    Women's And Children's Clothing (Selling)
,,,,5137,Women's And Children's Clothing (Agent/Broker)
,,,,5139,Footwear (Selling)
,,,,5139,    Footwear (Agent/Broker)
,,,,5140,    Groceries And Related Products
,,,,5141,"    Groceries, General Line (Selling)"
,,,,5141,"    Groceries, General Line (Agent/Broker)"
,,,,5142,    Frozen Foods (Selling)
,,,,5142,    Frozen Foods (Agent/Broker)
,,,,5143,    Dairy Products (Selling)
,,,,5143,    Dairy Products (Agent/Broker)
,,,,5144,    Poultry And Poultry Products (Selling)
,,,,5144,    Poultry And Poultry Products (Agent/Broker)
,,,,5145,    Confectionery (Selling)
,,,,5145,    Confectionery (Agent/Broker)
,,,,5146,    Fish And Seafoods (Selling)
,,,,5146,    Fish And Seafoods (Agent/Broker)
,,,,5147,    Meats And Meat Products (Selling)
,,,,5147,    Meats And Meat Products (Agent/Broker)
,,,,5148,    Fresh Fruits And Vegatables (Selling)
,,,,5148,    Fresh Fruits And Vegetables (Agent/Broker)
,,,,5149,"    Groceries And Related Products, nec (Selling)"
,,,,5149,"    Groceries And Related Products, nec (Agent/Broker)"
,,,,5150,    Farm-Product Raw Materials
,,,,5152,Cotton (Selling)
,,,,5152,    Cotton (Agent/Broker)
,,,,5153,    Grain (Selling)
,,,,5153,    Grain (Agent/Broker)
,,,,5154,    Livestock (Selling)
,,,,5154,Livestock (Agent/Broker)
,,,,5159,"Farm-Product Raw Materilas, nec (Selling)"
,,,,5159,"    Farm-Product Raw Materials, nec (Agent/Broker)"
,,,,5160,    Chemicals And Allied Products
,,,,5170,    Petroleum And Petroleum Products
,,,,5171,    Petroleum Bulk Stations & Terminals (Selling)
,,,,5171,    Petroleum Bulk Stations & Terminals (Agent/Broker)
,,,,5172,"    Petroleum Products, nec (Selling)"
,,,,5172,"Petroleum Products, nec (Agent/Broker)"
,,,,5180,"    Beer, Wine, And Distilled Beverages"
,,,,5181,    Beer And Ale (Selling)
,,,,5181,    Beer And Ale (Agent/Broker)
,,,,5182,    Wines And Distilled Beverages (Selling)
,,,,5182,Wines And Distilled Beverages (Agent/Broker)
